"KMeanLabel","long_ref","lat_ref","st_width","length","start_point_lat","start_point_long","end_point_lat","end_point_long","accident_no","speed_lim","construction_no","event_no","congestion_no","delays_no","vehicle_breakdown_no","fire_no","signal_problem_no","weather_incident_no"
"1",-73.9356519316048,40.8362205468381,27.4838709677419,0.0843714460286131,40.8358036911323,-73.935698328869,40.8366374025439,-73.9356055343406,0.903225806451613,26.9354838709677,1.09677419354839,0,0.032258064516129,0,0,0.0645161290322581,0.290322580645161,0
"2",-73.9864490516887,40.7384922635722,37.6,0.0569583652743854,40.7384624556074,-73.9868001913825,40.738522071537,-73.986097911995,3.32,25,0.62,1.34,0.02,0,0,0.02,0,0
"3",-73.9539858205252,40.7814845664649,42.6842105263158,0.0685160323196218,40.7814796214807,-73.954464533394,40.7814895114491,-73.9535071076563,2.13157894736842,25,0.105263157894737,0.210526315789474,0.0263157894736842,0,0,0,0,0
"4",-74.0073987737107,40.7245042613367,38.1428571428571,0.0475957172900235,40.7243603439801,-74.0072513835181,40.7246481786934,-74.0075461639032,2.08928571428571,25,0.196428571428571,0.678571428571429,0.160714285714286,0.0178571428571429,0,0,0,0
"5",-73.9817069105338,40.7776711270081,43.6666666666667,0.0655104560828791,40.7773521241989,-73.9814618437097,40.7779901298173,-73.981951977358,3.61538461538462,25,5.61538461538461,1.07692307692308,0,0,0,0.128205128205128,0.128205128205128,0.0769230769230769
"6",-73.9395979249667,40.8068843130946,36.8421052631579,0.0573136111017385,40.8068240955584,-73.9399773219276,40.8069445306307,-73.9392185280058,4.94736842105263,25,1.84210526315789,1.52631578947368,0.210526315789474,0.157894736842105,0,0.184210526315789,0.5,0.131578947368421
"7",-73.9933982518364,40.7135342317717,33.8349514563107,0.0383322565984985,40.7135645145896,-73.9935570594699,40.7135039489538,-73.9932394442028,1.07766990291262,25.2912621359223,0.718446601941748,0.106796116504854,0,0,0.106796116504854,0.029126213592233,0,0
"8",-73.9212407599892,40.8612231183822,48.1621621621622,0.0445249100788778,40.8610111480932,-73.921214863182,40.8614350886712,-73.9212666567963,1.2972972972973,25,0,0,0,0,0,0,0,0
"9",-73.9248842094365,40.7912603531727,28.1666666666667,0.048828567077073,40.7912747609095,-73.9248304252717,40.7912459454359,-73.9249379936012,0.259259259259259,25,0.814814814814815,0,0.0185185185185185,1.7962962962963,0.037037037037037,0,0,0
"10",-73.9683915560479,40.7560355057556,50.7692307692308,0.0937273246621516,40.7561216060794,-73.9690806370831,40.7559494054319,-73.9677024750127,6.96153846153846,25,1.34615384615385,1.07692307692308,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.230769230769231,0,0
"11",-74.008321004221,40.7037950640731,29.2857142857143,0.0454923915584998,40.7037031680941,-74.0086125647538,40.7038869600521,-74.0080294436881,1.69387755102041,27.1428571428571,1.44897959183673,0.938775510204082,0,0.0816326530612245,0.122448979591837,0.0204081632653061,0,0.0204081632653061
"12",-73.9952069223527,40.7574006123024,34.2083333333333,0.0319737322240952,40.7573052978842,-73.9951435964042,40.7574959267206,-73.9952702483012,3.01388888888889,25,0.145833333333333,0.1875,0.138888888888889,0.0694444444444444,0,0.0208333333333333,0,0.0486111111111111
"13",-73.9670730406257,40.799548992157,43.15625,0.0781185397237018,40.7992016093655,-73.9667131468047,40.7998963749487,-73.9674329344467,1.6875,25,0.25,0.875,0,0,0,0,0.03125,0
"14",-73.9714381463526,40.7133645077295,20.5,0.0799805841652285,40.7135789253469,-73.972145747707,40.7131500901121,-73.9707305449982,199,35,357.333333333333,48.25,0.75,291.583333333333,116.25,10.8333333333333,5,4.5
"15",-73.9422568184473,40.8493698930303,28.1954022988506,0.0289830691742609,40.8493073346813,-73.9422596486791,40.8494324513792,-73.9422539882154,0.0747126436781609,39.6264367816092,0,0,0,0,0,0,0,0
"16",-73.9416175372122,40.8297956059441,44.8918918918919,0.0630712010119501,40.8294620980479,-73.9415305005882,40.8301291138403,-73.9417045738361,1.7027027027027,25,1.56756756756757,1.27027027027027,0.027027027027027,0,0.027027027027027,0.162162162162162,0.108108108108108,0.027027027027027
"17",-73.9581113140427,40.821157491939,35.7692307692308,0.0486613169721039,40.820952952884,-73.9581419623001,40.8213620309941,-73.9580806657853,0.730769230769231,25,2.51923076923077,0.384615384615385,0,0.0961538461538462,0.173076923076923,0.0576923076923077,0.0192307692307692,0.0576923076923077
"18",-73.9751003497577,40.7547763386722,39.9183673469388,0.0559325426915094,40.7546931563449,-73.9754570716675,40.7548595209995,-73.9747436278479,4.36734693877551,25,1.14285714285714,1.53061224489796,0.0204081632653061,0,0,0.0816326530612245,0,0.102040816326531
"19",-73.9490620557693,40.7709156184515,38.1666666666667,0.0816102596281934,40.7708310815617,-73.9496187011702,40.7710001553414,-73.9485054103685,2.33333333333333,25,3.86111111111111,1.75,0.138888888888889,0.194444444444444,0.166666666666667,0.388888888888889,0.194444444444444,0.0277777777777778
"20",-74.0045731356772,40.7388298512962,37.7910447761194,0.0489103289175,40.7386426296383,-74.00438949724,40.7390170729542,-74.0047567741144,2.61194029850746,24.4776119402985,3.56716417910448,0.82089552238806,0,0,0,0.0447761194029851,0.208955223880597,0.0149253731343284
"21",-73.9748842579466,40.7299950914735,31.8928571428571,0.055212539942875,40.7298288908169,-73.9749574080398,40.7301612921301,-73.9748111078533,2.85714285714286,24.9107142857143,2.80357142857143,0.232142857142857,0,0.535714285714286,1.41071428571429,0.142857142857143,0,0
"22",-73.9627161533444,40.760583870841,39.15,0.0462574370431467,40.7606254996511,-73.963015515206,40.760542242031,-73.9624167914828,5.2375,33.875,0.6,0.4375,0.0625,0.025,0.0625,0.05,0,0
"23",-73.9303409436348,40.8014792220949,28.2388059701493,0.0326493978001768,40.8013859755479,-73.9303955892185,40.8015724686418,-73.9302862980511,2.84328358208955,28.8059701492537,17.2164179104478,0.940298507462687,0.298507462686567,6.46268656716418,0.746268656716418,0.291044776119403,0.619402985074627,0.432835820895522
"24",-73.9522673850989,40.8124878483597,43.6744186046512,0.0656282753849188,40.8121717967327,-73.9520396365894,40.8128038999868,-73.9524951336085,3.72093023255814,25,7.44186046511628,0.325581395348837,0,0,0,0.232558139534884,0.162790697674419,0.0232558139534884
"25",-73.9882273416347,40.7224832662995,39.6538461538462,0.0597622377389811,40.7224069213883,-73.9885986882843,40.7225596112107,-73.987855994985,2.13461538461538,23.5576923076923,1.05769230769231,0.173076923076923,0,0,0,0.0576923076923077,0,0
"26",-73.9123477304542,40.8719588795911,34.25,0.0509968057818964,40.8717084399155,-73.9123689430619,40.8722093192668,-73.9123265178464,0.583333333333333,25,0,0,0,0,0,0,0,0
"27",-73.9445550418388,40.7950245470914,36.7906976744186,0.0597532389653833,40.7949866789414,-73.9449598668706,40.7950624152414,-73.9441502168071,2.09302325581395,25,0.302325581395349,0.0697674418604651,0,0,0,0.0465116279069767,0,0.0232558139534884
"28",-73.9751256866134,40.746246334628,40.7121212121212,0.0509142148083512,40.746272495327,-73.9753445927701,40.746220173929,-73.9749067804568,4.96969696969697,25,0.954545454545455,0.106060606060606,0.0454545454545455,0.181818181818182,0.136363636363636,0.121212121212121,0,0
"29",-73.9604891397364,40.7771960821805,40.2564102564103,0.0600296870720385,40.7771344306019,-73.960886796333,40.7772577337591,-73.9600914831398,2.02564102564103,25,0.692307692307692,0.666666666666667,0.0512820512820513,0.0256410256410256,0,0.102564102564103,0,0
"30",-74.0223970177203,40.6859944606967,22.1538461538462,0.124253187915536,40.6863093477626,-74.0216111866717,40.6856795736308,-74.0231828487688,0,25,0,0,0,0,0,0,0,0
"31",-73.9716721139721,40.7894903067511,42,0.0876189670714784,40.7891263612588,-73.9712000051834,40.7898542522434,-73.9721442227609,2.56,25,19.04,2.76,0.08,0.36,0.12,0.2,0.6,0.44
"32",-73.9487426960271,40.8233980901061,38.9714285714286,0.0718208240671673,40.8230756302476,-73.9485353567881,40.8237205499647,-73.9489500352662,1.8,25,0.285714285714286,0.485714285714286,0,0,0,0.0285714285714286,0,0
"33",-73.9348993201373,40.8136428244384,31.0941176470588,0.0399453759553767,40.8134786677848,-73.9350082786412,40.813806981092,-73.9347903616333,2.69411764705882,28.8235294117647,4.55294117647059,0.6,0.0117647058823529,4.05882352941176,0.411764705882353,0.0705882352941176,0.141176470588235,0.0235294117647059
"34",-73.9346993052888,40.8477156473885,41.1095890410959,0.0469366817635044,40.8476069577738,-73.9347228318992,40.8478243370032,-73.9346757786784,1.17808219178082,23.7671232876712,0,0,0,0,0,0,0,0
